,BillNo,Date,Time,Description,Item,Quantity,Rate,Amount
204,167355,1/1/2014,11:46:32,DAAWAT BASMA,RICE,2.0,160.0,320.0
205,167356,1/1/2014,11:47:00,BRITANNIA BR,BISCUITS,1.0,26.0,26.0
206,167356,1/1/2014,11:47:00,IDLI RAVA NO 1,RAVA,1.0,26.0,26.0
207,167357,1/1/2014,11:47:53,CADBURY DAIRY MILK,CHOCOLATE,1.0,22.0,22.0
208,167357,1/1/2014,11:47:53,COLGATE 360 DEGREE TOOTH BRUSH,DENTAL CARE,1.0,69.0,69.0
209,167357,1/1/2014,11:47:53,CADBURY 5 STAR,CHOCOLATE,2.0,10.0,20.0
210,167357,1/1/2014,11:47:53,AJAY TOOTHBRUSH COM FLEXO,DENTAL CARE,3.0,32.0,96.0
211,167357,1/1/2014,11:47:53,CLOSE UP 80G M C NUTRIENT,DENTAL CARE,1.0,52.0,52.0
212,167357,1/1/2014,11:47:53,KARACHI BISC,BISCUITS,1.0,120.0,120.0
213,167358,1/1/2014,11:49:15,GENERAL     ,GENERAL,2.0,5.0,10.0
214,167359,1/1/2014,11:49:40,MILK 500ML  ,MILK,1.0,19.0,19.0
215,167360,1/1/2014,11:54:26,FEAST FRUTTA,CHOCOLATE,1.0,20.0,20.0
216,167360,1/1/2014,11:54:26,CORNETTO BUTTERSCOTCH,MILK PRODUCTS,2.0,30.0,60.0
217,167360,1/1/2014,11:54:26,DAAWAT BASMA,RICE,1.0,150.0,150.0
218,167361,1/1/2014,11:54:58,CADBURY 5 STAR,CHOCOLATE,1.0,5.0,5.0
219,167361,1/1/2014,11:54:58,APPY 200ML  ,BEVERAGES,1.0,12.0,12.0
220,167362,1/1/2014,11:57:34,DAAWAT BASMA,RICE,1.0,140.0,140.0
221,167362,1/1/2014,11:57:34,SWARNA PACKET TAMARIND,DETERGENT,1.0,71.0,71.0
222,167362,1/1/2014,11:57:34,DABUR GINGER GARLIC PASTE,KITCHEN PASTES,1.0,26.0,26.0
223,167362,1/1/2014,11:57:34,DABUR GINGER GARLIC PASTE,KITCHEN PASTES,1.0,36.0,36.0
224,167363,1/1/2014,11:57:59,PIM POM LOLLIPOP,CHOCOLATE,2.0,3.0,6.0
225,167363,1/1/2014,11:57:59,DAIRY MILK  SHOTS,CHOCOLATE,2.0,2.0,4.0
226,167364,1/1/2014,11:58:15,TATA SALT 1K,SALT,1.0,16.0,16.0
227,167365,1/1/2014,11:58:34,MILK 500ML  ,MILK,1.0,19.0,19.0
228,167366,1/1/2014,11:59:08,MILK 500ML  ,MILK,4.0,19.0,76.0
229,167366,1/1/2014,11:59:08,VIM DISHWASH POWDER,DISH CLEANER,1.0,40.0,40.0
230,167366,1/1/2014,11:59:08,FELIX PERF F,OTHER,1.0,65.0,65.0
231,167367,1/1/2014,12:00:17,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
232,167368,1/1/2014,12:02:22,FEAST CHOCOLATE CHOCOBAR,CHOCOLATE,1.0,20.0,20.0
233,167368,1/1/2014,12:02:22,FEAST FRUIT N NUT,CHOCOLATE,1.0,30.0,30.0
234,167368,1/1/2014,12:02:22,PARTY PACK 7,PARTY NEEDS,1.0,179.0,179.0
235,167369,1/1/2014,12:03:15,NESTLE CHOTU MUNCH,CHOCOLATE,4.0,2.0,8.0
236,167369,1/1/2014,12:03:15,EVEREST DRY GINGER PDR,KITCHEN POWDERS,1.0,32.0,32.0
237,167370,1/1/2014,12:06:25,BOURNVILLE 3,BISCUITS,1.0,30.0,30.0
238,167370,1/1/2014,12:06:25,B RAVA 1KG  ,RAVA,1.0,38.0,38.0
239,167370,1/1/2014,12:06:25,KAMAL RICE POWDER,RICE,1.0,25.0,25.0
240,167370,1/1/2014,12:06:25,TATA TEA 250,TEA,1.0,87.0,87.0
241,167370,1/1/2014,12:06:25,WAX CRAYONS ,STATIONARY,1.0,45.0,45.0
242,167370,1/1/2014,12:06:25,PEDIASURE 90,ENERGY DRINKS,1.0,1019.0,1019.0
243,167370,1/1/2014,12:06:25,CADBURY BOURN VITA 1KG JAR,ENERGY DRINKS,1.0,178.0,178.0
244,167370,1/1/2014,12:06:25,BAMBINO MACRONI,COOKING ITEMS,1.0,16.0,16.0
245,167370,1/1/2014,12:06:25,CADBURY DAIRY MILK,CHOCOLATE,1.0,22.0,22.0
246,167370,1/1/2014,12:06:25,DABUR CHYAWANPRAKASH SF,ENERGY DRINKS,1.0,80.0,80.0
247,167370,1/1/2014,12:06:25,PUTANALU 200,PULSES,1.0,16.0,16.0
