,BillNo,Date,Time,Description,Item,Quantity,Rate,Amount
10776,171359,19/01/2014,16:40:46,AMUL CHEES 8 CHIPLETS (CUBES),MILK PRODUCTS,1.0,91.0,91.0
10777,171359,19/01/2014,16:40:46,PARK AVENUE A S LOTION,BODY CARE,1.0,40.0,40.0
10778,171360,19/01/2014,16:42:36,CADBURY GEMS,CHOCOLATE,1.0,35.0,35.0
10779,171361,19/01/2014,16:45:18,MEDIKER 50ML,HAIR CARE,1.0,45.0,45.0
10780,171361,19/01/2014,16:45:18,CLINIC PLUS AYUR HAIR WASH,SHAMPOO,1.0,99.0,99.0
10781,171362,19/01/2014,16:48:53,KINLEY WATER  1 LITRE,BEVERAGES,1.0,20.0,20.0
10782,171363,19/01/2014,16:49:59,RIN SOAP 180,DETERGENT,3.0,10.0,30.0
10783,171363,19/01/2014,16:49:59,KAMAL BUTTER,MILK PRODUCTS,1.0,20.0,20.0
10784,171363,19/01/2014,16:49:59,HALDIRAM`S 8,SNACKS,1.0,10.0,10.0
10785,171363,19/01/2014,16:49:59,BAMBINO VARMICELLI,COOKING ITEMS,1.0,29.0,29.0
10786,171363,19/01/2014,16:49:59,KAMAL PENI 2,OTHER,1.0,38.0,38.0
10787,171364,19/01/2014,16:52:11,MILK 500ML  ,MILK,2.0,19.0,38.0
10788,171365,19/01/2014,16:56:53,ACT II POPCORN,POPCORN,1.0,20.0,20.0
10789,171365,19/01/2014,16:56:53,BRITANNIA MILK ALMOND,BISCUITS,1.0,26.0,26.0
10790,171365,19/01/2014,16:56:53,I D DIAMIND ,BATTER,1.0,30.0,30.0
10791,171366,19/01/2014,16:58:25,CORNETTO CHOC DISC,ICE CREAM,3.0,45.0,135.0
10792,171367,19/01/2014,16:59:30,MILK 500ML  ,MILK,1.0,19.0,19.0
10793,171367,19/01/2014,16:59:30,EGG         ,EGG,6.0,4.5,27.0
10794,171368,19/01/2014,17:00:09,MILK 500ML  ,MILK,1.0,19.0,19.0
10795,171369,19/01/2014,17:00:21,BRITANNIA WH,BISCUITS,1.0,26.0,26.0
10796,171370,19/01/2014,17:11:42,HALDIRAM`S MASALA KAJU,SNACKS,2.0,40.0,80.0
10797,171370,19/01/2014,17:11:42,HALDIRAM`S 3,SNACKS,1.0,67.0,67.0
10798,171371,19/01/2014,17:18:05,CLOTH CLIPS ,PLASTIC,1.0,39.0,39.0
10799,171371,19/01/2014,17:18:05,CLIPS 12 NOS,PLASTIC,1.0,42.0,42.0
10800,171371,19/01/2014,17:18:05,PANTENE 200ML A D,SHAMPOO,1.0,125.0,125.0
10801,171371,19/01/2014,17:18:05,MILK 500ML  ,MILK,1.0,19.0,19.0
10802,171371,19/01/2014,17:18:05,HERITAGE CUR,MILK PRODUCTS,2.0,19.0,38.0
10803,171372,19/01/2014,17:19:11,KURKURE 10/,SNACKS,1.0,10.0,10.0
10804,171373,19/01/2014,17:20:57,CADBURY PERK POPPERS,CHOCOLATE,1.0,5.0,5.0
10805,171373,19/01/2014,17:20:57,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
10806,171373,19/01/2014,17:20:57,KURKURE 10/,SNACKS,1.0,10.0,10.0
10807,171373,19/01/2014,17:20:57,SPRITE TIN 3,BEVERAGES,1.0,25.0,25.0
10808,171374,19/01/2014,17:21:33,TUTY FRUITY ,BAKERY ITEMS,1.0,12.0,12.0
10809,171375,19/01/2014,17:23:53,GARNIER MEN COLOR NATURALS,BODY CARE,1.0,99.0,99.0
10810,171376,19/01/2014,17:29:31,THUMSUP 500M,BEVERAGES,1.0,35.0,35.0
10811,171376,19/01/2014,17:29:31,HALDIRAM`S MASALA KAJU,SNACKS,2.0,40.0,80.0
10812,171377,19/01/2014,17:35:44,BRITANNIA SA,BISCUITS,1.0,26.0,26.0
10813,171377,19/01/2014,17:35:44,KINLEY WATER  1 LITRE,BEVERAGES,3.0,10.0,30.0
10814,171378,19/01/2014,17:37:17,MILK 500ML  ,MILK,2.0,19.0,38.0
10815,171379,19/01/2014,17:42:14,MAGGI PAZZTA,NOODLES,1.0,20.0,20.0
10816,171379,19/01/2014,17:42:14,VIM BAR 200G,DISH CLEANER,1.0,10.0,10.0
10817,171379,19/01/2014,17:42:14,BRITANNIA BUT & HON CREAM,BISCUITS,1.0,13.0,13.0
10818,171379,19/01/2014,17:42:14,PARLE HIDE & SEEK,BISCUITS,1.0,20.0,20.0
10819,171379,19/01/2014,17:42:14,MAGGI NOODLE CHILLY CHOW,NOODLES,1.0,20.0,20.0
10820,171379,19/01/2014,17:42:14,YIPPEE NOODLES,NOODLES,1.0,10.0,10.0
10821,171379,19/01/2014,17:42:14,I D DOSA BAT,BATTER,1.0,45.0,45.0
10822,171379,19/01/2014,17:42:14,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
10823,171379,19/01/2014,17:42:14,LAYS 20/   ,SNACKS,1.0,20.0,20.0
10824,171380,19/01/2014,17:43:30,CADBURY DAIRY MILK,CHOCOLATE,1.0,5.0,5.0
10825,171380,19/01/2014,17:43:30,UJALA SUPREME,DETERGENT,1.0,45.0,45.0
10826,171380,19/01/2014,17:43:30,NESTLE KITKAT,CHOCOLATE,5.0,10.0,50.0
10827,171380,19/01/2014,17:43:30,MAGGI MASALA,NOODLES,1.0,60.0,60.0
10828,171381,19/01/2014,17:44:49,ONIONS      ,ONIONS,1.0,25.0,25.0
10829,171382,19/01/2014,17:46:41,PREMIER SERVITTE TISSUE,TISSUE,1.0,50.0,50.0
10830,171382,19/01/2014,17:46:41,KAMAL SUGAR COATED SOUNF,CEREAL,2.0,15.0,30.0
10831,171382,19/01/2014,17:46:41,CRANE SWEET NUT POW,SOUNF,2.0,15.0,30.0
10832,171382,19/01/2014,17:46:41,PARTY PACK 7,PARTY NEEDS,1.0,160.0,160.0
10833,171383,19/01/2014,17:47:17,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
10834,171383,19/01/2014,17:47:17,MEERA SHAMPOO,SHAMPOO,1.0,62.0,62.0
10835,171383,19/01/2014,17:47:17,BRITANNIA MILK ALMOND,BISCUITS,1.0,17.0,17.0
10836,171384,19/01/2014,17:49:21,KINLEY WATER  1 LITRE,BEVERAGES,3.0,10.0,30.0
10837,171385,19/01/2014,17:50:31,ELITE CAKE 1,BAKERY ITEMS,1.0,30.0,30.0
10838,171385,19/01/2014,17:50:31,KURKURE 10/,SNACKS,1.0,10.0,10.0
10839,171385,19/01/2014,17:50:31,LAYS 10/   ,SNACKS,2.0,10.0,20.0
10840,171385,19/01/2014,17:50:31,BRITANNIA MILK ALMOND,BISCUITS,1.0,26.0,26.0
10841,171385,19/01/2014,17:50:31,THUMSUP 500M,BEVERAGES,1.0,35.0,35.0
10842,171386,19/01/2014,18:27:59,NESTLE FRESH*N* NATURAL DAHI,CHOCOLATE,1.0,25.0,25.0
10843,171387,19/01/2014,18:28:58,DIMOND MISIRI,SNACKS,1.0,15.0,15.0
10844,171387,19/01/2014,18:28:58,VIM BAR 200G,DISH CLEANER,2.0,10.0,20.0
10845,171387,19/01/2014,18:28:58,HORLICKS 500G  (JAR),ENERGY DRINKS,1.0,177.0,177.0
10846,171387,19/01/2014,18:28:58,KELLOGG`S CORN FLAKES,CEREAL,1.0,110.0,110.0
10847,171387,19/01/2014,18:28:58,COMPLAN KESAR BADAM,ENERGY DRINKS,1.0,220.0,220.0
10848,171388,19/01/2014,18:37:26,FEAST CHAOCOBAR BIG,CHOCOLATE,1.0,30.0,30.0
10849,171388,19/01/2014,18:37:26,SUNFEAST CLASSIC SALTED,CHOCOLATE,1.0,10.0,10.0
10850,171388,19/01/2014,18:37:26,COLGATE ZIGZIG JUNIOR BRUSH,DENTAL CARE,1.0,22.0,22.0
10851,171388,19/01/2014,18:37:26,PRIYA RICE RICHY OIL I LTR,COOKING OIL,1.0,88.0,88.0
10852,171389,19/01/2014,18:39:23,LAYS 10/   ,SNACKS,2.0,10.0,20.0
10853,171389,19/01/2014,18:39:23,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
10854,171389,19/01/2014,18:39:23,KURNOOL RICE,RICE,1.0,230.0,230.0
10855,171390,19/01/2014,18:40:30,ENO 5G      ,SPICES,2.0,6.0,12.0
10856,171391,19/01/2014,19:15:04,CADBURY CELEBRATIONS,CHOCOLATE,1.0,90.0,90.0
10857,171391,19/01/2014,19:15:04,HALDIRAM`S SOAN CAKE,SNACKS,1.0,115.0,115.0
10858,171392,19/01/2014,19:18:25,FANTA 400ML ,BEVERAGES,2.0,22.0,44.0
10859,171392,19/01/2014,19:18:25,PEPSODENT WHITENIG BRUSH,DENTAL CARE,1.0,82.0,82.0
10860,171392,19/01/2014,19:18:25,KAMAL NAMKEEN,SNACKS,4.0,17.0,68.0
10861,171392,19/01/2014,19:18:25,GOOD KNIGHIT REPELLENT,INSECT REPELLENT,1.0,36.0,36.0
10862,171392,19/01/2014,19:18:25,OREO BISKUIT,BISCUITS,1.0,30.0,30.0
10863,171392,19/01/2014,19:18:25,MAAZA 200ML ,BEVERAGES,2.0,12.0,24.0
10864,171392,19/01/2014,19:18:25,LAYS 20/   ,SNACKS,1.0,20.0,20.0
10865,171392,19/01/2014,19:18:25,LAYS 10/   ,SNACKS,2.0,10.0,20.0
10866,171392,19/01/2014,19:18:25,KINLEY WATER  1 LITRE,BEVERAGES,3.0,30.0,90.0
10867,171392,19/01/2014,19:18:25,EGG         ,EGG,12.0,4.5,54.0
10868,171393,19/01/2014,19:22:15,AASHIRVAAD M,ATTA,1.0,245.0,245.0
10869,171394,19/01/2014,19:23:48,HALDIRAM`S 8,SNACKS,2.0,10.0,20.0
10870,171394,19/01/2014,19:23:48,PRIYA PICKLE,PICKLES,1.0,12.0,12.0
10871,171395,19/01/2014,19:26:27,PREMIER FACE TISSUEBOX,TISSUE,1.0,60.0,60.0
10872,171395,19/01/2014,19:26:27,LAKME RADIANCE COMPACT,BODY CARE,1.0,115.0,115.0
10873,171396,19/01/2014,19:26:56,MAAZA 500+10,BEVERAGES,1.0,35.0,35.0
10874,171396,19/01/2014,19:26:56,KIWI LIQUID SHOE POLISH,FLOOR CLEANER,1.0,39.0,39.0
10875,171397,19/01/2014,19:29:17,CARRY BAG   ,CARRY BAG,1.0,3.0,3.0
10876,171397,19/01/2014,19:29:17,NIVEA DEO 15,BODY CARE,1.0,175.0,175.0
10877,171397,19/01/2014,19:29:17,SURF EXCEL AUTOMATIC,DETERGENT,1.0,104.0,104.0
10878,171397,19/01/2014,19:29:17,MIKE BROOM  ,FLOOR CLEANER,1.0,60.0,60.0
10879,171397,19/01/2014,19:29:17,NAPTHALANE BALLS 16 BALLS,AIR FRESHENERS,1.0,26.0,26.0
10880,171397,19/01/2014,19:29:17,GOOD DAY CASHEW,BISCUITS,1.0,15.0,15.0
10881,171397,19/01/2014,19:29:17,PREMIER NAPKINS,TISSUE,1.0,32.0,32.0
10882,171397,19/01/2014,19:29:17,HARPIC POWER CLEANER,FLOOR CLEANER,1.0,63.0,63.0
10883,171397,19/01/2014,19:29:17,LIZOL FLOOR CLEANER 2 LTR,FLOOR CLEANER,1.0,62.0,62.0
10884,171397,19/01/2014,19:29:17,VIM DROP LIQUID,DISH CLEANER,1.0,20.0,20.0
10885,171397,19/01/2014,19:29:17,LAYS 20/   ,SNACKS,1.0,20.0,20.0
10886,171397,19/01/2014,19:29:17,LAYS 20/   ,SNACKS,1.0,20.0,20.0
10887,171398,19/01/2014,19:29:59,SUNDROP 1LTR,COOKING OIL,1.0,170.0,170.0
10888,171398,19/01/2014,19:29:59,MOONG DALL 200G (NO.1),SNACKS,1.0,20.0,20.0
10889,171398,19/01/2014,19:29:59,WHEAT RAVA MEDIUM,RAVA,1.0,22.0,22.0
10890,171399,19/01/2014,19:31:55,EGG         ,EGG,6.0,4.5,27.0
10891,171399,19/01/2014,19:31:55,LAYS 15/   ,SNACKS,1.0,15.0,15.0
10892,171399,19/01/2014,19:31:55,KAMAL MEAL MAKER,COOKING ITEMS,1.0,25.0,25.0
10893,171400,19/01/2014,19:32:22,B RAVA 500GM,RAVA,1.0,19.0,19.0
10894,171401,19/01/2014,19:33:40,POLO BIG 5/,CHOCOLATE,1.0,5.0,5.0
10895,171401,19/01/2014,19:33:40,NESTLE TONED MILK,CHOCOLATE,1.0,65.0,65.0
10896,171401,19/01/2014,19:33:40,MTR BADAM DRINK,DETERGENT,2.0,35.0,70.0
10897,171401,19/01/2014,19:33:40,NESTLE FRESH*N* NATURAL DAHI,CHOCOLATE,2.0,25.0,50.0
10898,171401,19/01/2014,19:33:40,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
10899,171401,19/01/2014,19:33:40,EGG         ,EGG,12.0,4.5,54.0
10900,171402,19/01/2014,19:34:20,CHANA POWDER,PULSES,1.0,72.0,72.0
10901,171402,19/01/2014,19:34:20,BRITANNIA MILK ALMOND,BISCUITS,1.0,22.0,22.0
10902,171403,19/01/2014,19:56:19,EGG         ,EGG,6.0,4.5,27.0
10903,171403,19/01/2014,19:56:19,PARK AVENUE A S LOTION,BODY CARE,1.0,40.0,40.0
10904,171403,19/01/2014,19:56:19,RED LABLE TEA,TEA,1.0,33.0,33.0
10905,171403,19/01/2014,19:56:19,MESWAK TOOTH PAST,DENTAL CARE,1.0,42.0,42.0
10906,171403,19/01/2014,19:56:19,WHISPER ULTRA,SANITARY PADS,1.0,109.0,109.0
10907,171403,19/01/2014,19:56:19,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
10908,171403,19/01/2014,19:56:19,PREMIER TOILET TISSUE,TISSUE,1.0,40.0,40.0
10909,171403,19/01/2014,19:56:19,BOUTIQUE TIS,PARTY NEEDS,1.0,60.0,60.0
10910,171404,19/01/2014,19:58:05,CADBURY ECLAIRS,CHOCOLATE,25.0,1.0,25.0
10911,171404,19/01/2014,19:58:05,MYSORE SANDAL AGARBATHI,POOJA ITEMS,2.0,30.0,60.0
10912,171404,19/01/2014,19:58:05,I D KERALA P,BATTER,1.0,45.0,45.0
10913,171404,19/01/2014,19:58:05,RATNA CHIKKY,SNACKS,2.0,20.0,40.0
10914,171404,19/01/2014,19:58:05,KAMAL NAMKEEN,SNACKS,2.0,15.0,30.0
10915,171405,19/01/2014,19:58:24,CADBURY ECLAIRS,CHOCOLATE,2.0,1.0,2.0
10916,171405,19/01/2014,19:58:24,CAMEL WATER COLOUR CAKES JR,STATIONARY,1.0,28.0,28.0
10917,171406,19/01/2014,20:05:08,PILLSBURY COOKER CAKE175G,BAKERY ITEMS,1.0,80.0,80.0
10918,171406,19/01/2014,20:05:08,PARLE HIDE & SEEK,BISCUITS,1.0,25.0,25.0
10919,171406,19/01/2014,20:05:08,BRITANNIA BUT & HON CREAM,BISCUITS,2.0,13.0,26.0
10920,171406,19/01/2014,20:05:08,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
10921,171407,20/01/2014,20:59:18,SUGAR 1KG   ,SUGAR,1.0,38.0,38.0
10922,171407,20/01/2014,20:59:18,RAJAS GARBAGE DISPO BAGS,PLASTIC,1.0,88.0,88.0
10923,171408,20/01/2014,21:01:11,THUMSUP 500M,BEVERAGES,1.0,35.0,35.0
10924,171409,20/01/2014,21:05:41,CADBURY GEMS,CHOCOLATE,1.0,35.0,35.0
10925,171410,20/01/2014,21:13:42,KINLEY SODA 1.5 LTR,BEVERAGES,1.0,18.0,18.0
10926,171410,20/01/2014,21:13:42,TROPICANA ORANGE &GRAPE,BEVERAGES,1.0,88.0,88.0
10927,171410,20/01/2014,21:13:42,THUMS UP 1.2 LTR,BEVERAGES,1.0,50.0,50.0
10928,171411,20/01/2014,8:54:56,BRITANNIA NICE,BISCUITS,1.0,10.0,10.0
10929,171412,20/01/2014,8:58:11,MILK 500ML  ,MILK,2.0,19.0,38.0
10930,171412,20/01/2014,8:58:11,B RAVA 500GM,RAVA,1.0,19.0,19.0
10931,171413,20/01/2014,8:59:25,TIL NYLON(OR),PLASTIC,1.0,32.0,32.0
10932,171413,20/01/2014,8:59:25,COPRA BLACK ,KITCHEN POWDERS,1.0,28.0,28.0
10933,171413,20/01/2014,8:59:25,AASHIRVAAD ATTA MULTIGRAINS1KG,ATTA,1.0,50.0,50.0
10934,171414,20/01/2014,9:04:19,MILK 500ML  ,MILK,3.0,19.0,57.0
10935,171415,20/01/2014,9:10:50,SUNRISE STRO,TEA,2.0,10.0,20.0
10936,171415,20/01/2014,9:10:50,KAJU 100GMS ,DRY FRUITS,1.0,62.0,62.0
10937,171415,20/01/2014,9:10:50,KAJU 200GMS ,DRY FRUITS,1.0,124.0,124.0
10938,171415,20/01/2014,9:10:50,BADAM 100GM ,DRY FRUITS,1.0,74.0,74.0
10939,171415,20/01/2014,9:10:50,KIS MIS 50GM,DRY FRUITS,1.0,14.0,14.0
10940,171416,20/01/2014,9:11:48,MILK 500ML  ,MILK,2.0,19.0,38.0
10941,171417,20/01/2014,9:15:11,MILK 500ML  ,MILK,1.0,19.0,19.0
10942,171417,20/01/2014,9:15:11,DOMEX THICK ,FLOOR CLEANER,1.0,63.0,63.0
10943,171417,20/01/2014,9:15:11,BRITANNIA MANGO CREAM,BISCUITS,1.0,10.0,10.0
10944,171417,20/01/2014,9:15:11,EGG         ,EGG,12.0,4.5,54.0
10945,171418,20/01/2014,9:20:46,GODREJ RICH ,BODY CARE,1.0,30.0,30.0
10946,171419,20/01/2014,9:22:08,CADBURY ECLAIRS,CHOCOLATE,1.0,1.0,1.0
10947,171419,20/01/2014,9:22:08,GODREJ HAIR DYE LIQUIDE,BODY CARE,2.0,15.0,30.0
10948,171419,20/01/2014,9:22:08,GODREJ RICH ,BODY CARE,1.0,30.0,30.0
10949,171420,20/01/2014,9:22:39,SUNFEAST DEL,CHOCOLATE,1.0,30.0,30.0
10950,171421,20/01/2014,9:23:38,MILK 500ML  ,MILK,4.0,19.0,76.0
10951,171422,20/01/2014,9:29:50,IDLI RAVA NO 1,RAVA,1.0,26.0,26.0
10952,171422,20/01/2014,9:29:50,B RAVA 500GM,RAVA,1.0,19.0,19.0
10953,171423,20/01/2014,9:30:34,EGG         ,EGG,12.0,4.5,54.0
10954,171423,20/01/2014,9:30:34,MILK 500ML  ,MILK,2.0,19.0,38.0
10955,171424,20/01/2014,9:30:50,LUX ORCHID TOUCH,BODY SOAP,1.0,10.0,10.0
10956,171424,20/01/2014,9:30:50,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
10957,171425,20/01/2014,9:31:33,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
10958,171426,20/01/2014,9:35:38,VIM BAR 400G,DISH CLEANER,1.0,23.0,23.0
10959,171426,20/01/2014,9:35:38,EGG         ,EGG,4.0,4.5,18.0
10960,171427,20/01/2014,9:42:25,MILK 500ML  ,MILK,3.0,19.0,57.0
10961,171428,20/01/2014,9:43:38,CADBURY ECLAIRS,CHOCOLATE,10.0,1.0,10.0
10962,171429,20/01/2014,9:43:50,SURF EXCEL POWDER,DETERGENT,1.0,182.0,182.0
10963,171429,20/01/2014,9:43:50,SURF EXCEL 5,DETERGENT,1.0,93.0,93.0
10964,171430,20/01/2014,9:44:08,EGG         ,EGG,6.0,4.5,27.0
10965,171430,20/01/2014,9:44:08,EVEREST CHICKEN MASALA,MASALA,1.0,31.0,31.0
10966,171430,20/01/2014,9:44:08,WHEAT RAVA MEDIUM,RAVA,1.0,22.0,22.0
10967,171431,20/01/2014,9:49:17,MILK 500ML  ,MILK,1.0,19.0,19.0
10968,171432,20/01/2014,9:49:33,MILK 500ML  ,MILK,5.0,19.0,95.0
10969,171433,20/01/2014,9:49:50,MILK 500ML  ,MILK,5.0,19.0,95.0
10970,171434,20/01/2014,9:50:44,AMUL BUTTER 12P SMALL,MILK PRODUCTS,1.0,34.0,34.0
10971,171434,20/01/2014,9:50:44,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
10972,171434,20/01/2014,9:50:44,EGG         ,EGG,6.0,4.5,27.0
10973,171435,20/01/2014,9:55:16,MILK 500ML  ,MILK,3.0,19.0,57.0
10974,171436,20/01/2014,10:01:11,CARTINI POP GEN PUR LARGE SCIS,CUTLERY,1.0,42.0,42.0
10975,171436,20/01/2014,10:01:11,MAGGI MASALA,NOODLES,1.0,58.0,58.0
10976,171437,20/01/2014,10:01:37,KAMAL RICE RAVA,RAVA,1.0,27.0,27.0
10977,171438,20/01/2014,10:05:10,777 RASAM POWDER,KITCHEN POWDERS,1.0,39.0,39.0
10978,171438,20/01/2014,10:05:10,COPRA BLACK ,KITCHEN POWDERS,1.0,14.0,14.0
10979,171438,20/01/2014,10:05:10,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
10980,171439,20/01/2014,10:07:53,QUAKER OATMEAL,CEREAL,1.0,85.0,85.0
10981,171440,20/01/2014,10:12:47,MILK 500ML  ,MILK,2.0,19.0,38.0
10982,171441,20/01/2014,10:13:20,MILK 500ML  ,MILK,5.0,19.0,95.0
10983,171441,20/01/2014,10:13:20,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
10984,171442,20/01/2014,10:14:42,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
10985,171443,20/01/2014,10:15:20,FEVI KWIK   ,STATIONARY,1.0,5.0,5.0
10986,171443,20/01/2014,10:15:20,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
10987,171443,20/01/2014,10:15:20,AASHIRVAAD ATTA MULTIGRAINS1KG,ATTA,1.0,50.0,50.0
10988,171443,20/01/2014,10:15:20,SAGO 200GM  ,PULSES,1.0,20.0,20.0
10989,171443,20/01/2014,10:15:20,RED CHILLI 1,KITCHEN POWDERS,1.0,16.0,16.0
10990,171443,20/01/2014,10:15:20,ENO 5G      ,SPICES,6.0,6.0,36.0
10991,171444,20/01/2014,10:19:21,MILK 500ML  ,MILK,4.0,19.0,76.0
10992,171445,20/01/2014,10:20:32,SABENA 1KG  ,DISH CLEANER,1.0,22.0,22.0
10993,171446,20/01/2014,10:21:01,SURF EXCEL BLUE,DETERGENT,1.0,25.0,25.0
10994,171447,20/01/2014,10:23:25,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
10995,171447,20/01/2014,10:23:25,MILK 500ML  ,MILK,3.0,19.0,57.0
10996,171448,20/01/2014,10:32:02,SPONGE      ,FLOOR CLEANER,1.0,10.0,10.0
10997,171449,20/01/2014,10:32:13,LG ASAFOETIDA POWDER PACKET,KITCHEN POWDERS,1.0,51.5,51.5
10998,171450,20/01/2014,10:32:49,MILK 500ML  ,MILK,2.0,19.0,38.0
10999,171450,20/01/2014,10:32:49,BOUTIQUE TIS,PARTY NEEDS,1.0,58.0,58.0
11000,171450,20/01/2014,10:32:49,ORAL B CLASSIC  BRUSH,DENTAL CARE,1.0,24.0,24.0
11001,171451,20/01/2014,10:38:02,MAGGI PAZZTA,NOODLES,1.0,20.0,20.0
11002,171452,20/01/2014,10:39:48,KURNOOL RICE,RICE,1.0,1150.0,1150.0
11003,171452,20/01/2014,10:39:48,KANGARO STAPLER,STATIONARY,1.0,45.0,45.0
11004,171452,20/01/2014,10:39:48,STAPLES     ,STATIONARY,1.0,7.0,7.0
11005,171453,20/01/2014,10:40:20,NESCAFE SUNRICE PREMIUM,COFFEE,1.0,85.0,85.0
11006,171454,20/01/2014,10:41:48,MOONG DALL 500G (NO.1),SNACKS,2.0,48.0,96.0
11007,171454,20/01/2014,10:41:48,GENERAL     ,GENERAL,1.0,33.0,33.0
11008,171454,20/01/2014,10:41:48,KAMAL SALTED MURMURA,SNACKS,2.0,22.0,44.0
11009,171455,20/01/2014,10:44:38,ONIONS      ,ONIONS,0.5,25.0,12.5
11010,171455,20/01/2014,10:44:38,FREEDOM SUNF,COOKING OIL,1.0,98.0,98.0
11011,171455,20/01/2014,10:44:38,RED LABLE TEA,TEA,1.0,33.0,33.0
11012,171455,20/01/2014,10:44:38,SHAJEERA 20G,SPICES,1.0,28.0,28.0
11013,171455,20/01/2014,10:44:38,PALAKA JAGGERY,JAGGERY,1.0,66.0,66.0
11014,171456,20/01/2014,10:45:41,BRITANNIA MANGO CREAM,BISCUITS,2.0,10.0,20.0
11015,171457,20/01/2014,10:46:21,WHEEL GREEN POWDER,KITCHEN POWDERS,1.0,44.0,44.0
11016,171457,20/01/2014,10:46:21,BOILED RICE ,RICE,2.0,35.0,70.0
11017,171458,20/01/2014,10:47:41,PARLE HIDE & SEEK,BISCUITS,1.0,25.0,25.0
11018,171458,20/01/2014,10:47:41,BINGO CHIPS ,SNACKS,1.0,10.0,10.0
11019,171458,20/01/2014,10:47:41,NESTLE ALPIN,CHOCOLATE,1.0,25.0,25.0
11020,171459,20/01/2014,10:48:21,CARRY BAG   ,CARRY BAG,1.0,2.0,2.0
11021,171460,20/01/2014,10:48:49,VIM BAR 200G,DISH CLEANER,1.0,15.0,15.0
11022,171460,20/01/2014,10:48:49,TIL WHITE ORDANARY,INSECT REPELLENT,1.0,27.0,27.0
11023,171460,20/01/2014,10:48:49,TIL WHITE ORDANARY,INSECT REPELLENT,2.0,54.0,108.0
11024,171461,20/01/2014,10:50:56,CADBURY ECLAIRS,CHOCOLATE,1.0,1.0,1.0
11025,171461,20/01/2014,10:50:56,HERITAGE CUR,MILK PRODUCTS,1.0,19.0,19.0
11026,171462,20/01/2014,10:51:23,BRITANNIA MANGO CREAM,BISCUITS,2.0,10.0,20.0
11027,171462,20/01/2014,10:51:23,CADBURY ECLAIRS,CHOCOLATE,10.0,1.0,10.0
11028,171463,20/01/2014,10:53:18,MILK 500ML  ,MILK,5.0,19.0,95.0
11029,171463,20/01/2014,10:53:18,MOONG DALL 200G (NO.1),SNACKS,1.0,20.0,20.0
11030,171463,20/01/2014,10:53:18,JEERA 100G  ,SPICES,1.0,25.0,25.0
11031,171463,20/01/2014,10:53:18,LIZOL FLOOR CLEANER 2 LTR,FLOOR CLEANER,1.0,62.0,62.0
11032,171464,20/01/2014,10:53:30,RIN SUPEME 2,DETERGENT,2.0,29.0,58.0
11033,171465,20/01/2014,10:59:02,VIM BAR 265G,DISH CLEANER,1.0,44.0,44.0
11034,171465,20/01/2014,10:59:02,TAMRIND 500G,DETERGENT,1.0,49.0,49.0
11035,171465,20/01/2014,10:59:02,BRITANNA GOOD DAY BUTTER,MILK PRODUCTS,1.0,20.0,20.0
11036,171465,20/01/2014,10:59:02,NESTLE NAN 3,CHOCOLATE,1.0,387.0,387.0
11037,171466,20/01/2014,11:00:13,PARACHUTE COCONUT OIL,COCONUT,1.0,49.0,49.0
11038,171467,20/01/2014,11:05:26,HERITAGE PANEER,MILK PRODUCTS,1.0,70.0,70.0
11039,171467,20/01/2014,11:05:26,NESTLE FRESH*N* NATURAL DAHI,CHOCOLATE,1.0,25.0,25.0
11040,171467,20/01/2014,11:05:26,HERITAGE CUR,MILK PRODUCTS,1.0,38.0,38.0
11041,171467,20/01/2014,11:05:26,PLASTIC MUG ,PLASTIC,1.0,24.0,24.0
11042,171467,20/01/2014,11:05:26,PLASTIC BUCKET 13 ltr,PLASTIC,1.0,55.0,55.0
11043,171468,20/01/2014,11:07:13,DABUR ALMOND,DRY FRUITS,1.0,28.0,28.0
11044,171468,20/01/2014,11:07:13,DABUR ALMOND,DRY FRUITS,1.0,55.0,55.0
11045,171469,20/01/2014,11:07:53,GOOD KNIGHT ADV COIL,INSECT REPELLENT,1.0,66.0,66.0
11046,171470,20/01/2014,11:08:34,KAMAL BATANA,PULSES,1.0,10.0,10.0
11047,171470,20/01/2014,11:08:34,CADBURY BOURN VITA 1KG JAR,ENERGY DRINKS,1.0,178.0,178.0
11048,171471,20/01/2014,11:10:52,KURNOOL RICE,RICE,1.0,46.0,46.0
11049,171471,20/01/2014,11:10:52,MILK 500ML  ,MILK,1.0,19.0,19.0
